Distributor Segmentation,,,,,,,Customer Segmentation,,,,,,,Rep Performance & Incentive Compensation,,,,,,,,,Year-over-Year Growth by Market,,,,,
Distributor,Total Sales,Rank,Cumulative %,Segment,,,Customer Name,Country,Channel,Total Sales,Rank,Segment,,Rep,Manager,Team,Total Sales,Segment,Target,Attainment %,Payout Tier,,Country,2018,2019,2020,2019 Growth %,2020 Growth %
,,,,,,,Gerlach LLC,Poland,Hospital,3319091,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Boyer and Sons Pharmaceutical Limited,Poland,Hospital,6574331,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Monahan Ltd,Poland,Hospital,2596736,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Okuneva-Corkery,Poland,Hospital,2095542,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schimmel-Waelchi Pharmaceutical Ltd,Poland,Hospital,2377130,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Wolff Group Pharm,Poland,Hospital,2712648,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Roob, Ernser and Kub Pharmaceutical Limited",Poland,Hospital,4206718,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Schinner, Gaylord and Treutel Pharmaceutical Ltd",Poland,Hospital,2690295,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Will and Sons Pharmaceutical Limited,Poland,Hospital,3773857,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,West Group Pharmacy,Poland,Hospital,2260025,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaefer LLC Pharmacy,Poland,Hospital,2620098,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Pfeffer-Hodkiewicz Pharmaceutical Ltd,Poland,Hospital,1679772,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kertzmann, Quitzon and Harris Pharma Plc",Poland,Hospital,2819581,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Buckridge-Strosin Pharmaceutical Limited,Poland,Hospital,2717132,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lindgren-Simonis Pharm,Poland,Pharmacy,4571771,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Veum-Kerluke Pharmacy,Poland,Pharmacy,2832805,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koss-Beier,Poland,Pharmacy,3560602,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rutherford and Sons,Poland,Pharmacy,4480098,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Balistreri-Watsica Pharmacy,Poland,Pharmacy,6114088,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Welch-Langworth,Poland,Pharmacy,2674619,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Nader-Borer Pharma Plc,Poland,Pharmacy,5079190,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kuhic LLC Pharma Plc,Poland,Pharmacy,2423879,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Nader-Gaylord Pharmaceutical Ltd,Poland,Pharmacy,6200373,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schmitt LLC Pharm,Poland,Pharmacy,3341084,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Romaguera-Fay Pharmaceutical Limited,Poland,Pharmacy,3329758,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Reilly Ltd,Poland,Pharmacy,3627565,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kilback, Beer and Batz Pharma Plc",Poland,Pharmacy,5009905,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Poland,Pharmacy,4480859,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Will and Sons Pharma Plc,Poland,Pharmacy,2547983,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Steuber, Skiles and Kilback Pharma Plc",Poland,Pharmacy,4182127,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Trantow LLC Pharma Plc,Poland,Pharmacy,3768587,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kuphal, D'Amore and Bode Pharmaceutical Ltd",Poland,Pharmacy,3400026,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Funk and Sons Pharmaceutical Limited,Poland,Pharmacy,3182287,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Leuschke PLC Pharmacy,Poland,Pharmacy,5137740,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Greenholt, Donnelly and O'Reilly Pharmaceutical Limited",Poland,Pharmacy,2195889,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Crist, Wisoky and Nolan Pharmaceutical Ltd",Poland,Pharmacy,4637033,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Hansen, Fadel and Schroeder Pharm",Poland,Pharmacy,2225392,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lesch PLC Pharmaceutical Ltd,Poland,Pharmacy,3107873,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Jast-Cruickshank Pharma Plc,Poland,Pharmacy,3665136,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Sauer and Sons Pharmaceutical Limited,Poland,Pharmacy,2973298,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Harris, Daugherty and Okuneva Pharma Plc",Poland,Pharmacy,1948473,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Leannon-West Pharmacy,Poland,Pharmacy,2559759,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Jakubowski Inc Pharmaceutical Limited,Poland,Pharmacy,4784385,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Keeling LLC Pharmacy,Poland,Pharmacy,4530078,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Walsh-Brown Pharmacy,Poland,Pharmacy,4516298,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Wintheiser, Breitenberg and Gottlieb Pharmaceutical Limited",Poland,Pharmacy,4176930,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mraz-Kutch Pharm,Poland,Pharmacy,2262808,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ritchie-Rodriguez Pharm,Poland,Pharmacy,4467582,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Parisian, Hagenes and Skiles Pharma Plc",Poland,Pharmacy,2946576,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Pfannerstill Group Pharmaceutical Ltd,Poland,Pharmacy,2627854,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hayes-Kilback Pharmaceutical Ltd,Poland,Pharmacy,3964929,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Denesik-Hintz Pharm,Poland,Pharmacy,2392035,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Beer, Kohler and Beatty Pharmaceutical Ltd",Poland,Pharmacy,2959937,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Erdman, Senger and Oberbrunner Pharm",Poland,Pharmacy,4230846,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest PLC,Poland,Pharmacy,2021466,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Blick, Pacocha and Schowalter",Poland,Pharmacy,4866124,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Moen, Murazik and Smith",Poland,Pharmacy,4581024,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"McClure, Zemlak and Dibbert Pharma Plc",Poland,Pharmacy,3536029,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Haley PLC Pharmaceutical Limited,Poland,Pharmacy,3083122,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hill Ltd,Poland,Pharmacy,3483214,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Poland,Hospital,3111337,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Welch-Orn,Poland,Hospital,4375067,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koss Ltd Pharmaceutical Limited,Poland,Hospital,6361234,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Gleichner, Bahringer and Morar Pharma Plc",Poland,Hospital,3312361,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Block-Romaguera Pharmaceutical Limited,Poland,Hospital,3611190,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Barton Ltd Pharma Plc,Poland,Hospital,2789921,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Runte-Marquardt Pharmaceutical Ltd,Poland,Hospital,3158566,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaefer-Rolfson,Poland,Hospital,2631811,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Zieme, Doyle and Kunze",Poland,Hospital,2726368,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Gibson-Hill Pharma Plc,Poland,Hospital,3867089,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bashirian-Kassulke Pharma Plc,Poland,Hospital,1997481,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Barrows Inc,Poland,Hospital,3190339,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schulist-Zulauf Pharm,Poland,Hospital,2726406,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Graham and Sons Pharmacy,Poland,Hospital,2682005,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Crist Inc,Poland,Hospital,5137959,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kutch-Marks Pharm,Poland,Hospital,3231751,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Nitzsche, Effertz and Maggio Pharmacy",Poland,Hospital,5223760,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Buckridge, Dach and Carroll Pharmaceutical Limited",Poland,Hospital,2606825,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mann-Waelchi Pharm,Poland,Hospital,2728045,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Gottlieb-Cruickshank Pharma Plc,Poland,Hospital,2848546,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kreiger Inc Pharma Plc,Poland,Hospital,7063000,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bosco-Marquardt Pharm,Poland,Hospital,3124277,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Carter-Conn Pharma Plc,Poland,Hospital,6825490,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Herman-Koss Pharm,Poland,Hospital,3426586,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rogahn-Klein Pharmacy,Poland,Hospital,2311818,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bayer LLC Pharmaceutical Ltd,Poland,Hospital,2324731,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,D'Amore and Sons,Poland,Hospital,2652079,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Doyle-Tillman Pharmaceutical Ltd,Poland,Hospital,7158142,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Schmitt, Berge and Haley Pharma Plc",Poland,Hospital,2384835,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Breitenberg-Kuhn Pharmacy,Poland,Hospital,3648594,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Crona PLC Pharma Plc,Poland,Hospital,2047523,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kozey-Schroeder,Poland,Hospital,2692556,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Balistreri, Torp and Gulgowski Pharmacy",Poland,Hospital,2792805,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Zemlak Group Pharmaceutical Limited,Poland,Hospital,2228898,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Leffler-Russel Pharm,Poland,Hospital,2379629,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mraz Group Pharmacy,Poland,Hospital,3907690,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lesch PLC Pharmacy,Poland,Hospital,3230884,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Miller-Satterfield Pharma Plc,Poland,Hospital,3091263,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kunze PLC Pharm,Poland,Hospital,3501226,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lemke Ltd Pharm,Poland,Hospital,2345679,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Hahn, Rutherford and Gislason Pharmaceutical Limited",Poland,Hospital,2348617,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Runolfsson, Swaniawski and Jaskolski Pharmacy",Poland,Hospital,3043450,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Beier PLC Pharmacy,Poland,Hospital,3264824,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Steuber Ltd Pharmacy,Poland,Hospital,2676869,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Grimes, Jacobs and Durgan Pharm",Poland,Hospital,2243375,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Stanton-Cole,Poland,Hospital,3577304,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mills Inc Pharma Plc,Poland,Hospital,4170514,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Nader-Gaylord Pharmaceutical Limited,Poland,Hospital,3707047,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Powlowski-Buckridge Pharma Plc,Poland,Hospital,4039277,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Wiegand, Jast and Yost Pharma Plc",Poland,Hospital,1796446,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Yundt-Crona Pharmaceutical Ltd,Poland,Hospital,2667767,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Heller-Abernathy,Poland,Hospital,4394462,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Rosenbaum, Klein and Herzog",Poland,Hospital,2864547,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Buckridge-Davis,Poland,Hospital,2894720,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kub, Von and Herzog Pharmacy",Poland,Hospital,3602060,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Marquardt-Ryan Pharmaceutical Ltd,Poland,Hospital,3454170,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Hills, Stroman and Ernser Pharm",Poland,Hospital,2448488,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Cassin PLC Pharmacy,Poland,Hospital,3055438,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Koch, Borer and Hagenes",Poland,Hospital,2787706,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest-Roob Pharmaceutical Ltd,Poland,Pharmacy,2705799,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Towne, Cummerata and Blanda Pharm",Poland,Hospital,4477560,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Reynolds, Jast and Mante Pharma Plc",Poland,Pharmacy,2595109,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Heidenreich Group Pharmaceutical Ltd,Poland,Pharmacy,3849892,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rohan PLC Pharmaceutical Limited,Poland,Pharmacy,2521239,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Haag, Bradtke and Terry Pharmacy",Poland,Hospital,2105639,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"McClure, Zemlak and Dibbert Pharmaceutical Limited",Poland,Hospital,2530886,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hansen Group Pharm,Poland,Hospital,3631981,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Moore PLC Pharmaceutical Ltd,Poland,Pharmacy,2513717,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Emard-O'Connell Pharmacy,Poland,Pharmacy,3676546,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,McCullough LLC Pharma Plc,Poland,Pharmacy,3408632,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Casper, Hyatt and Jakubowski Pharmaceutical Limited",Poland,Hospital,2748326,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Yundt, Leuschke and Ward Pharmaceutical Ltd",Poland,Hospital,3029636,#N/A,#N/A,,,,,,,,,,,,,,,,
